City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,ribeira grande,38.5167,-28.7,17.1,82,88,6.71,PT,1684891318
138,nurota,40.5614,65.6886,19.4,36,0,3.89,UZ,1684891318
139,hamilton,39.1834,-84.5333,24.05,60,40,3.09,US,1684891162
140,itororo,-15.1169,-40.0703,19.11,96,90,1.13,BR,1684891318
141,dongkan,33.9997,119.8308,18.84,48,100,4.61,CN,1684891318
142,atafu village,-8.5421,-172.5159,28.29,73,85,2.99,TK,1684891318
143,rotonda west,26.8837,-82.2901,27.77,82,100,5.66,US,1684891318
144,geneina,13.45,22.45,29.19,22,76,2.16,SD,1684891318
145,phagwara,31.2178,75.7694,32.85,36,100,0.25,IN,1684890771
146,gorontalo,0.5412,123.0595,29.6,68,100,1.56,ID,1684891318
147,rosarito,32.3333,-117.0333,16.93,75,27,3.35,MX,1684891319
148,waiuku,-37.25,174.75,19.03,74,0,3.5,NZ,1684891319
149,flying fish cove,-10.4217,105.6791,26.82,78,75,4.12,CX,1684891319
150,afaahiti,-17.75,-149.2833,27.81,80,80,5.33,PF,1684891319
151,forster,-32.1667,152.5167,19.1,54,82,1.16,AU,1684891319
152,bilibino,68.0546,166.4372,9.79,44,99,1.83,RU,1684891183
153,fale old settlement,-9.3852,-171.2468,28.2,72,93,2.95,TK,1684891319
154,stanley,54.868,-1.6985,9.94,83,0,4.63,GB,1684891319
155,aldan,58.6031,125.3894,7.43,51,90,2.65,RU,1684891319
156,birendranagar,28.6019,81.6339,26.06,46,98,1.02,NP,1684891319
157,craig,40.5153,-107.5464,21.97,28,0,1.54,US,1684891319
158,timaru,-44.4,171.25,12.26,68,21,2.24,NZ,1684891319
159,sarkad,46.75,21.3833,16.31,86,100,1.7,HU,1684891319
160,solnechnyy,50.7214,136.6319,21.4,40,98,5.29,RU,1684891319
161,okha,53.5739,142.9478,3.12,81,100,6.94,RU,1684891319
162,batang,-6.4846,110.7083,27.81,69,45,1.92,ID,1684891320
163,pointe-noire,-4.7761,11.8635,24.91,93,17,2.04,CG,1684891320
164,tura,25.5198,90.2201,23.58,88,95,1.6,IN,1684891320
165,bridgewater,44.3835,-64.5155,6.82,87,0,3.09,CA,1684891320
166,ancud,-41.8697,-73.8203,10.05,85,100,13.82,CL,1684891320
167,taksimo,56.3444,114.8794,11.69,38,39,1.01,RU,1684891320
168,dawson creek,55.7666,-120.2362,6.8,87,100,3.6,CA,1684891320
169,kidal,18.4411,1.4078,33.21,16,91,5.52,ML,1684891320
170,qaqortoq,60.7167,-46.0333,-0.45,78,100,1.0,GL,1684891320
171,callao,-12.0667,-77.15,23.73,73,100,7.2,PE,1684891254
172,kununurra,-15.7667,128.7333,24.99,25,2,3.6,AU,1684891320
173,jardim,-21.4803,-56.1381,21.09,66,0,2.3,BR,1684891320
174,peace river,56.2501,-117.286,9.17,100,100,5.14,CA,1684891320
175,zarghun shahr,32.8473,68.4457,14.61,57,11,2.24,AF,1684891321
176,nova sintra,14.8667,-24.7167,20.38,81,69,6.26,CV,1684891321
177,taikang,46.8333,124.4167,26.25,18,10,8.5,CN,1684891321
178,xiuyan,40.2928,123.2744,20.18,51,100,3.67,CN,1684891321
179,luderitz,-26.6481,15.1594,13.71,67,10,1.42,NA,1684891321
180,miyazu,35.5333,135.1833,16.11,56,9,5.38,JP,1684891321
181,sanya,18.2431,109.505,32.09,66,0,1.0,CN,1684891321
182,nyurba,63.2842,118.3319,11.33,36,100,2.61,RU,1684891321
183,kone,-21.0595,164.8658,25.46,45,25,4.07,NC,1684891321
184,bairnsdale,-37.8333,147.6167,15.03,64,0,0.45,AU,1684891321
185,lutjenburg,54.2919,10.5895,9.9,82,100,2.68,DE,1684891321
186,natal,-5.795,-35.2094,26.12,94,40,2.06,BR,1684891082
187,boa vista,2.8197,-60.6733,26.99,83,20,1.03,BR,1684891321
188,acajutla,13.5928,-89.8275,28.94,73,88,1.76,SV,1684891322
189,popondetta,-8.7537,148.2534,27.92,69,100,1.61,PG,1684891322
190,lebu,-37.6167,-73.65,12.43,76,37,9.93,CL,1684891214
191,port augusta,-32.5,137.7667,17.62,41,48,6.78,AU,1684891322
192,altai,46.3722,96.2583,4.33,65,77,5.73,MN,1684891322
193,versailles,48.8,2.1333,9.97,76,0,5.14,FR,1684891322
194,wuyang,31.9925,116.2472,13.57,87,100,5.93,CN,1684891322
195,haiku-pauwela,20.9219,-156.3051,29.01,56,20,12.35,US,1684891322
196,kozhikode,11.25,75.7667,25.65,87,79,1.62,IN,1684891322
197,fiambala,-27.6871,-67.6149,21.11,17,0,0.42,AR,1684891322
198,enid,36.3956,-97.8784,20.57,80,75,3.6,US,1684891322
199,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,46,75,3.0,RU,1684891323
200,macau,22.2006,113.5461,25.48,88,40,8.75,MO,1684891323
201,enewetak,11.3474,162.3373,28.49,70,100,6.39,MH,1684891323
202,dunedin,-45.8742,170.5036,13.78,51,17,2.68,NZ,1684891323
203,gejiu,23.306,103.1635,19.66,62,0,2.41,CN,1684891323
204,palmer,42.1584,-72.3287,16.01,65,75,3.6,US,1684891323
205,akureyri,65.6835,-18.0878,4.96,65,100,8.23,IS,1684891323
206,novopskov,49.5464,39.0899,13.73,94,31,1.35,UA,1684891323
207,fortuna,40.5982,-124.1573,14.19,79,100,9.26,US,1684891323
208,uturoa,-16.7333,-151.4333,26.89,78,69,5.29,PF,1684891323
209,tolanaro,-25.0319,46.9987,16.04,94,20,2.06,MG,1684891323
210,kanniyakumari,8.0833,77.5667,27.99,79,0,4.94,IN,1684891324
211,roma,43.2128,-75.4557,17.57,69,0,2.06,US,1684891321
212,lazaro cardenas,17.9583,-102.2,28.53,69,0,3.65,MX,1684891324
213,san blas,21.5167,-105.2667,33.94,60,100,2.07,MX,1684891099
214,al burayqah,30.4062,19.5739,19.55,67,69,4.03,LY,1684891324
215,nemuro,43.3236,145.575,4.82,84,100,7.76,JP,1684891324
216,lompoc,34.6391,-120.4579,15.34,79,100,5.36,US,1684891324
217,amurzet,47.6967,131.0981,22.38,35,100,7.74,RU,1684891324
218,georgetown,5.4112,100.3354,29.97,71,20,2.06,MY,1684891129
219,mari-turek,56.7895,49.6235,14.1,67,45,2.75,RU,1684891324
220,semera,11.501,41.201,27.61,62,5,4.12,ET,1684891324
221,rongelap,11.1635,166.8941,28.38,72,100,6.94,MH,1684891324
222,farafangana,-22.8167,47.8333,19.37,83,76,2.89,MG,1684891324
223,sidon,33.5631,35.3689,22.95,49,0,3.58,LB,1684891325
224,burley,42.5357,-113.7928,14.55,88,75,4.12,US,1684891325
225,manado,1.487,124.8455,31.43,62,20,3.09,ID,1684891325
226,mbandaka,0.0487,18.2603,21.54,94,15,0.77,CD,1684891325
227,asyqata,40.8994,68.3611,19.17,53,6,2.21,KZ,1684891325
228,singaraja,-8.112,115.0882,27.65,65,6,0.41,ID,1684891325
229,cananeia,-25.0147,-47.9267,19.13,90,0,0.63,BR,1684891325
230,garissa,-0.4536,39.6401,23.78,86,19,5.92,KE,1684891325
231,ardakan,32.31,54.0175,25.62,20,83,3.6,IR,1684891325
232,saint-joseph,-21.3667,55.6167,22.48,82,98,1.75,RE,1684891325
233,gisborne,-38.6533,178.0042,14.73,82,68,5.84,NZ,1684891325
234,happy valley-goose bay,53.3168,-60.3315,12.17,40,75,6.69,CA,1684891326
235,jabor,5.921,169.6434,28.33,75,24,4.64,MH,1684891326
236,xiaoshi,41.2971,124.1209,21.31,33,100,3.94,CN,1684891326
237,saint-philippe,-21.3585,55.7679,21.77,81,100,2.31,RE,1684891326
238,port mathurin,-19.6833,63.4167,25.02,60,0,5.39,MU,1684891326
239,san antonio de pale,-1.4014,5.6325,26.3,80,11,3.18,GQ,1684891326
240,zaragoza,41.6561,-0.8773,16.12,76,40,4.12,ES,1684891326
241,shahr-e babak,30.1165,55.1186,19.98,31,92,1.46,IR,1684891326
242,laojunmiao,39.8333,97.7333,10.87,42,100,6.21,CN,1684891326
243,mhamid,29.82,-5.72,22.63,22,0,2.76,MA,1684891326
244,kot mumin,32.1895,73.028,28.15,44,85,2.42,PK,1684891326
245,keflavik,64.0049,-22.5624,5.95,65,75,18.01,IS,1684891326
246,borodino,55.9106,94.8983,7.76,60,7,7.4,RU,1684891326
247,port saint john's,-31.6229,29.5448,15.98,61,16,2.83,ZA,1684891327
248,mhangura,-16.8939,30.1683,13.65,86,0,1.32,ZW,1684891327
249,sechura,-5.5569,-80.8222,25.81,67,100,7.77,PE,1684891327
250,luang namtha,20.9497,101.4011,23.01,88,20,1.03,LA,1684891327
251,russkaya polyana,49.417,31.9201,13.16,90,86,1.36,UA,1684891327
252,geraldton,-28.7667,114.6,18.23,88,100,3.6,AU,1684891184
253,timiryazevskoye,56.49,84.8769,11.16,49,100,4.7,RU,1684891327
